account_id,account_name,industry,account_segment,employee_band,segment_bucket,use_case_bucket,payment_flow_fit_score,urgency_score,revenue_potential_score,likelihood_to_buy_score,icp_grade,buyer_persona,wedge_priority,current_owner_name
001000000001,Company001 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_6
001000000002,Company002 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_9
001000000003,Company003 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_5
001000000004,Company004 Labs,Fintech,Mid-Market,2000+,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_1
001000000005,Company005 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_8
001000000006,Company006 Labs,SaaS,Mid-Market,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000007,Company007 Labs,SaaS,Mid-Market,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_4
001000000008,Company008 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000009,Company009 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000010,Company010 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000011,Company011 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_5
001000000012,Company012 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000013,Company013 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000014,Company014 Labs,Manufacturing,Enterprise,51-200,b2b_erp,vendor_payments,2,2,5,2,A3,Head of Revenue,comparison,AE_3
001000000015,Company015 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_6
001000000016,Company016 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000017,Company017 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_8
001000000018,Company018 Labs,SaaS,SMB,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_9
001000000019,Company019 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000020,Company020 Labs,Manufacturing,Mid-Market,2000+,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_10
001000000021,Company021 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_3
001000000022,Company022 Labs,Fintech,SMB,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000023,Company023 Labs,Manufacturing,Mid-Market,501-2000,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_10
001000000024,Company024 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000025,Company025 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000026,Company026 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_4
001000000027,Company027 Labs,Media,Mid-Market,2000+,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000028,Company028 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000029,Company029 Labs,Media,Mid-Market,2000+,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000030,Company030 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_4
001000000031,Company031 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000032,Company032 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000033,Company033 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_4
001000000034,Company034 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000035,Company035 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_5
001000000036,Company036 Labs,SaaS,Enterprise,1-50,vertical_saas,platform_monetization,4,4,5,4,A1,Head of Product,comparison,AE_7
001000000037,Company037 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_4
001000000038,Company038 Labs,Retail,Enterprise,51-200,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_8
001000000039,Company039 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_6
001000000040,Company040 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000041,Company041 Labs,Healthcare,SMB,2000+,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_5
001000000042,Company042 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_10
001000000043,Company043 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_9
001000000044,Company044 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_2
001000000045,Company045 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_7
001000000046,Company046 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_9
001000000047,Company047 Labs,SaaS,SMB,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_4
001000000048,Company048 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000049,Company049 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_8
001000000050,Company050 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_4
001000000051,Company051 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_4
001000000052,Company052 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_2
001000000053,Company053 Labs,Manufacturing,Mid-Market,501-2000,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_6
001000000054,Company054 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_8
001000000055,Company055 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_6
001000000056,Company056 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000057,Company057 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000058,Company058 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_7
001000000059,Company059 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_1
001000000060,Company060 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_1
001000000061,Company061 Labs,Healthcare,SMB,1-50,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_2
001000000062,Company062 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000063,Company063 Labs,Fintech,SMB,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_10
001000000064,Company064 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_10
001000000065,Company065 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_7
001000000066,Company066 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_6
001000000067,Company067 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_8
001000000068,Company068 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000069,Company069 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000070,Company070 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_9
001000000071,Company071 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_1
001000000072,Company072 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_2
001000000073,Company073 Labs,Healthcare,Enterprise,2000+,healthcare_admin,patient_payments,3,2,5,2,A3,VP Strategy,comparison,AE_8
001000000074,Company074 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_7
001000000075,Company075 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000076,Company076 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_5
001000000077,Company077 Labs,Retail,SMB,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000078,Company078 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000079,Company079 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_9
001000000080,Company080 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000081,Company081 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_9
001000000082,Company082 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_9
001000000083,Company083 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_1
001000000084,Company084 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_3
001000000085,Company085 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_1
001000000086,Company086 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_7
001000000087,Company087 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_5
001000000088,Company088 Labs,Retail,SMB,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_1
001000000089,Company089 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_9
001000000090,Company090 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000091,Company091 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000092,Company092 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000093,Company093 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_9
001000000094,Company094 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_6
001000000095,Company095 Labs,SaaS,SMB,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_8
001000000096,Company096 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000097,Company097 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_1
001000000098,Company098 Labs,Healthcare,SMB,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_4
001000000099,Company099 Labs,Healthcare,Enterprise,201-500,healthcare_admin,patient_payments,3,2,5,2,A3,VP Strategy,comparison,AE_3
001000000100,Company100 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_2
001000000101,Company101 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_5
001000000102,Company102 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_10
001000000103,Company103 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000104,Company104 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_7
001000000105,Company105 Labs,Media,SMB,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000106,Company106 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000107,Company107 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_4
001000000108,Company108 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_1
001000000109,Company109 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_6
001000000110,Company110 Labs,Retail,SMB,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_8
001000000111,Company111 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000112,Company112 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000113,Company113 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_1
001000000114,Company114 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_10
001000000115,Company115 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_8
001000000116,Company116 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_8
001000000117,Company117 Labs,Fintech,Enterprise,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AE_8
001000000118,Company118 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_7
001000000119,Company119 Labs,Retail,SMB,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000120,Company120 Labs,Media,Enterprise,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AE_7
001000000121,Company121 Labs,Manufacturing,Enterprise,1-50,b2b_erp,vendor_payments,2,2,5,2,A3,Head of Revenue,comparison,AE_8
001000000122,Company122 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000123,Company123 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_9
001000000124,Company124 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_5
001000000125,Company125 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_8
001000000126,Company126 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_5
001000000127,Company127 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_1
001000000128,Company128 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_5
001000000129,Company129 Labs,Manufacturing,Mid-Market,2000+,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_9
001000000130,Company130 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_2
001000000131,Company131 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_6
001000000132,Company132 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_6
001000000133,Company133 Labs,Retail,Enterprise,501-2000,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_7
001000000134,Company134 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_10
001000000135,Company135 Labs,Manufacturing,Mid-Market,501-2000,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_6
001000000136,Company136 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_1
001000000137,Company137 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000138,Company138 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_8
001000000139,Company139 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_3
001000000140,Company140 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_8
001000000141,Company141 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_6
001000000142,Company142 Labs,Retail,SMB,51-200,commerce_platforms,merchant_payouts,5,4,4,5,A1,VP Payments,comparison,AM_3
001000000143,Company143 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000144,Company144 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000145,Company145 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_7
001000000146,Company146 Labs,SaaS,Mid-Market,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_7
001000000147,Company147 Labs,Retail,Enterprise,51-200,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_3
001000000148,Company148 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_5
001000000149,Company149 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_4
