account_id,account_name,industry,account_segment,employee_band,segment_bucket,use_case_bucket,payment_flow_fit_score,urgency_score,revenue_potential_score,likelihood_to_buy_score,icp_grade,buyer_persona,wedge_priority,current_owner_name
001000000150,Company150 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000151,Company151 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000152,Company152 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000153,Company153 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000154,Company154 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_8
001000000155,Company155 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_3
001000000156,Company156 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000157,Company157 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000158,Company158 Labs,SaaS,SMB,501-2000,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_7
001000000159,Company159 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_2
001000000160,Company160 Labs,Retail,Mid-Market,501-2000,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000161,Company161 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000162,Company162 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_4
001000000163,Company163 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000164,Company164 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_4
001000000165,Company165 Labs,Retail,SMB,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_8
001000000166,Company166 Labs,Healthcare,Mid-Market,2000+,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_10
001000000167,Company167 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000168,Company168 Labs,Fintech,SMB,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_8
001000000169,Company169 Labs,SaaS,SMB,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_6
001000000170,Company170 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000171,Company171 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_3
001000000172,Company172 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_3
001000000173,Company173 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_7
001000000174,Company174 Labs,Media,SMB,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000175,Company175 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_7
001000000176,Company176 Labs,SaaS,Mid-Market,201-500,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_5
001000000177,Company177 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_7
001000000178,Company178 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_4
001000000179,Company179 Labs,Manufacturing,Enterprise,201-500,b2b_erp,vendor_payments,2,2,5,2,A3,Head of Revenue,comparison,AE_8
001000000180,Company180 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_1
001000000181,Company181 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000182,Company182 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_9
001000000183,Company183 Labs,Manufacturing,Mid-Market,2000+,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_5
001000000184,Company184 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000185,Company185 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000186,Company186 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000187,Company187 Labs,Retail,Enterprise,201-500,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_3
001000000188,Company188 Labs,Retail,SMB,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000189,Company189 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_9
001000000190,Company190 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_10
001000000191,Company191 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000192,Company192 Labs,Healthcare,SMB,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_6
001000000193,Company193 Labs,Healthcare,Enterprise,51-200,healthcare_admin,patient_payments,3,2,5,2,A3,VP Strategy,comparison,AE_3
001000000194,Company194 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000195,Company195 Labs,SaaS,SMB,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000196,Company196 Labs,Healthcare,Mid-Market,201-500,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_2
001000000197,Company197 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_7
001000000198,Company198 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_4
001000000199,Company199 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000200,Company200 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000201,Company201 Labs,SaaS,Enterprise,51-200,vertical_saas,platform_monetization,4,4,5,4,A1,Head of Product,comparison,AE_7
001000000202,Company202 Labs,Healthcare,Enterprise,501-2000,healthcare_admin,patient_payments,3,2,5,2,A3,VP Strategy,comparison,AE_3
001000000203,Company203 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_10
001000000204,Company204 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_8
001000000205,Company205 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000206,Company206 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_2
001000000207,Company207 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000208,Company208 Labs,Retail,SMB,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000209,Company209 Labs,Healthcare,SMB,501-2000,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_1
001000000210,Company210 Labs,Retail,Enterprise,1-50,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_3
001000000211,Company211 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_1
001000000212,Company212 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_10
001000000213,Company213 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_4
001000000214,Company214 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_3
001000000215,Company215 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000216,Company216 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_2
001000000217,Company217 Labs,Healthcare,SMB,501-2000,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_2
001000000218,Company218 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000219,Company219 Labs,Media,SMB,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_7
001000000220,Company220 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_10
001000000221,Company221 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_7
001000000222,Company222 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000223,Company223 Labs,Retail,Mid-Market,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000224,Company224 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_2
001000000225,Company225 Labs,Healthcare,SMB,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_2
001000000226,Company226 Labs,Fintech,Enterprise,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AE_3
001000000227,Company227 Labs,Media,SMB,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000228,Company228 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_5
001000000229,Company229 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_8
001000000230,Company230 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_8
001000000231,Company231 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_4
001000000232,Company232 Labs,Fintech,SMB,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_10
001000000233,Company233 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000234,Company234 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_9
001000000235,Company235 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_8
001000000236,Company236 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_3
001000000237,Company237 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000238,Company238 Labs,Manufacturing,SMB,501-2000,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_9
001000000239,Company239 Labs,Fintech,Mid-Market,501-2000,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_10
001000000240,Company240 Labs,Fintech,Mid-Market,1-50,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_2
001000000241,Company241 Labs,Fintech,SMB,201-500,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_2
001000000242,Company242 Labs,Fintech,SMB,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_2
001000000243,Company243 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_3
001000000244,Company244 Labs,Retail,Mid-Market,201-500,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000245,Company245 Labs,Retail,Enterprise,1-50,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_3
001000000246,Company246 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_9
001000000247,Company247 Labs,Fintech,SMB,501-2000,banking_software,embedded_accounts,4,3,4,4,A1,GM Embedded Finance,comparison,AM_10
001000000248,Company248 Labs,Fintech,Mid-Market,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_4
001000000249,Company249 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_9
001000000250,Company250 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_4
001000000251,Company251 Labs,Fintech,Enterprise,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AE_3
001000000252,Company252 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_7
001000000253,Company253 Labs,Retail,Enterprise,501-2000,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_3
001000000254,Company254 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000255,Company255 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_2
001000000256,Company256 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000257,Company257 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_10
001000000258,Company258 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_3
001000000259,Company259 Labs,Fintech,Mid-Market,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_5
001000000260,Company260 Labs,Retail,Mid-Market,1-50,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_10
001000000261,Company261 Labs,Healthcare,Mid-Market,1-50,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_3
001000000262,Company262 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_3
001000000263,Company263 Labs,SaaS,Enterprise,501-2000,vertical_saas,platform_monetization,4,4,5,4,A1,Head of Product,comparison,AE_7
001000000264,Company264 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_6
001000000265,Company265 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_5
001000000266,Company266 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_2
001000000267,Company267 Labs,Manufacturing,Enterprise,201-500,b2b_erp,vendor_payments,2,2,5,2,A3,Head of Revenue,comparison,AE_7
001000000268,Company268 Labs,Manufacturing,Mid-Market,1-50,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_2
001000000269,Company269 Labs,Manufacturing,Mid-Market,201-500,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_4
001000000270,Company270 Labs,Healthcare,Enterprise,501-2000,healthcare_admin,patient_payments,3,2,4,2,A3,VP Strategy,comparison,AE_3
001000000271,Company271 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_1
001000000272,Company272 Labs,Media,Mid-Market,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_7
001000000273,Company273 Labs,Healthcare,Mid-Market,501-2000,healthcare_admin,patient_payments,3,2,5,4,A1,VP Strategy,comparison,AM_10
001000000274,Company274 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_2
001000000275,Company275 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000276,Company276 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,4,3,A2,Head of Revenue,comparison,AM_6
001000000277,Company277 Labs,SaaS,Mid-Market,1-50,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_1
001000000278,Company278 Labs,SaaS,Mid-Market,51-200,vertical_saas,platform_monetization,4,4,5,5,A1,Head of Product,comparison,AM_6
001000000279,Company279 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_4
001000000280,Company280 Labs,Media,Mid-Market,201-500,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000281,Company281 Labs,Media,SMB,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000282,Company282 Labs,Media,Mid-Market,2000+,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_10
001000000283,Company283 Labs,Media,Mid-Market,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_4
001000000284,Company284 Labs,Manufacturing,Mid-Market,51-200,b2b_erp,vendor_payments,2,2,3,3,B2,Head of Revenue,comparison,AM_1
001000000285,Company285 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_5
001000000286,Company286 Labs,SaaS,Mid-Market,2000+,vertical_saas,platform_monetization,4,4,4,5,A1,Head of Product,comparison,AM_3
001000000287,Company287 Labs,Retail,SMB,2000+,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_7
001000000288,Company288 Labs,Manufacturing,Mid-Market,501-2000,b2b_erp,vendor_payments,2,2,5,3,A2,Head of Revenue,comparison,AM_10
001000000289,Company289 Labs,Media,SMB,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_6
001000000290,Company290 Labs,SaaS,Enterprise,1-50,vertical_saas,platform_monetization,4,4,5,4,A1,Head of Product,comparison,AE_7
001000000291,Company291 Labs,Fintech,SMB,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_5
001000000292,Company292 Labs,Retail,Enterprise,201-500,commerce_platforms,merchant_payouts,5,4,5,4,A1,VP Payments,comparison,AE_7
001000000293,Company293 Labs,Healthcare,Mid-Market,51-200,healthcare_admin,patient_payments,3,2,4,4,A1,VP Strategy,comparison,AM_5
001000000294,Company294 Labs,Fintech,SMB,201-500,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_8
001000000295,Company295 Labs,Fintech,SMB,501-2000,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AM_9
001000000296,Company296 Labs,Fintech,Enterprise,51-200,banking_software,embedded_accounts,4,3,5,4,A1,GM Embedded Finance,comparison,AE_7
001000000297,Company297 Labs,Retail,Mid-Market,51-200,commerce_platforms,merchant_payouts,5,4,5,5,A1,VP Payments,comparison,AM_4
001000000298,Company298 Labs,Media,Mid-Market,501-2000,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_5
001000000299,Company299 Labs,Media,SMB,51-200,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AM_8
001000000300,Company300 Labs,Media,Enterprise,1-50,property_management_software,rent_payments,5,5,5,5,A1,CEO / GM,primary,AE_3
